Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 07:20:00+00:00,2021-10-22 07:15:00+00:00,54,15,39,-0.012270000000000319
2,2021-10-22 07:20:00+00:00,2021-10-29 07:15:00+00:00,63,15,48,-0.019879999999999894
3,2021-10-29 07:20:00+00:00,2021-11-05 07:15:00+00:00,58,12,46,-0.022369999999999654
4,2021-11-05 07:20:00+00:00,2021-11-12 07:15:00+00:00,59,11,48,-0.027670000000000937
5,2021-11-12 07:20:00+00:00,2021-11-19 07:15:00+00:00,64,18,46,-0.03252000000000099
6,2021-11-19 07:20:00+00:00,2021-11-26 07:15:00+00:00,57,12,45,-0.02951999999999956
7,2021-11-26 07:20:00+00:00,2021-12-03 07:15:00+00:00,62,14,48,-0.03998000000000029
8,2021-12-03 07:20:00+00:00,2021-12-10 07:15:00+00:00,62,15,47,-0.02313999999999966
9,2021-12-10 07:20:00+00:00,2021-12-17 07:15:00+00:00,57,16,41,-0.02161999999999978
10,2021-12-17 07:20:00+00:00,2021-12-24 07:15:00+00:00,53,16,36,-0.030470000000001052
11,2021-12-24 07:20:00+00:00,2021-12-31 07:15:00+00:00,50,13,37,-0.015169999999999018
12,2021-12-31 07:20:00+00:00,2022-01-07 07:15:00+00:00,51,18,33,-0.011849999999998584
13,2022-01-07 07:20:00+00:00,2022-01-14 07:15:00+00:00,58,13,44,-0.03398999999999952
14,2022-01-14 07:20:00+00:00,2022-01-21 07:15:00+00:00,57,17,40,-0.02316999999999836
15,2022-01-21 07:20:00+00:00,2022-01-28 07:15:00+00:00,54,13,41,-0.029319999999997126
16,2022-01-28 07:20:00+00:00,2022-02-04 07:15:00+00:00,61,13,48,-0.04230999999999918
17,2022-02-04 07:20:00+00:00,2022-02-11 07:15:00+00:00,62,15,46,-0.039539999999998576
18,2022-02-11 07:20:00+00:00,2022-02-18 07:15:00+00:00,65,17,48,-0.01792999999999867
19,2022-02-18 07:20:00+00:00,2022-02-25 07:15:00+00:00,67,28,39,-0.020849999999998037
20,2022-02-25 07:20:00+00:00,2022-03-04 07:15:00+00:00,74,23,50,-0.03158999999999873
21,2022-03-04 07:20:00+00:00,2022-03-11 07:15:00+00:00,74,18,56,-0.05104999999999693
22,2022-03-11 07:20:00+00:00,2022-03-18 07:15:00+00:00,71,26,45,-0.038979999999998016
23,2022-03-18 07:20:00+00:00,2022-03-25 07:15:00+00:00,64,13,51,-0.03944999999999865
24,2022-03-25 07:20:00+00:00,2022-04-01 07:15:00+00:00,71,24,47,-0.01957999999999993
25,2022-04-01 07:20:00+00:00,2022-04-08 07:15:00+00:00,67,22,44,-0.015579999999998595
26,2022-04-08 07:20:00+00:00,2022-04-15 07:15:00+00:00,63,23,40,-0.015059999999998519
27,2022-04-15 07:20:00+00:00,2022-04-22 07:15:00+00:00,55,17,38,-0.02633999999999692
28,2022-04-22 07:20:00+00:00,2022-04-29 07:15:00+00:00,77,21,55,-0.04126999999999903
29,2022-04-29 07:20:00+00:00,2022-05-06 07:15:00+00:00,66,20,46,-0.0336499999999984
30,2022-05-06 07:20:00+00:00,2022-05-13 07:15:00+00:00,72,28,43,-0.03405999999999798
31,2022-05-13 07:20:00+00:00,2022-05-20 07:15:00+00:00,67,16,51,-0.04918999999999962
32,2022-05-20 07:20:00+00:00,2022-05-27 07:15:00+00:00,70,21,48,-0.036099999999997134
33,2022-05-27 07:20:00+00:00,2022-06-03 07:15:00+00:00,65,17,47,-0.033660000000000245
34,2022-06-03 07:20:00+00:00,2022-06-10 07:15:00+00:00,63,21,40,-0.01812999999999798
35,2022-06-10 07:20:00+00:00,2022-06-17 07:15:00+00:00,75,23,52,-0.05281999999999709
36,2022-06-17 07:20:00+00:00,2022-06-24 07:15:00+00:00,66,20,46,-0.02737999999999796
37,2022-06-24 07:20:00+00:00,2022-07-01 07:15:00+00:00,70,23,47,-0.023879999999998125
38,2022-07-01 07:20:00+00:00,2022-07-08 07:15:00+00:00,71,31,39,-0.004999999999997673
39,2022-07-08 07:20:00+00:00,2022-07-15 07:15:00+00:00,74,25,49,-0.03581999999999752
40,2022-07-15 07:20:00+00:00,2022-07-22 07:15:00+00:00,64,18,46,-0.049269999999998815
41,2022-07-22 07:20:00+00:00,2022-07-29 07:15:00+00:00,79,31,48,-0.022739999999997318
42,2022-07-29 07:20:00+00:00,2022-08-05 07:15:00+00:00,68,18,49,-0.04394999999999816
43,2022-08-05 07:20:00+00:00,2022-08-12 07:15:00+00:00,59,12,47,-0.03513999999999928
44,2022-08-12 07:20:00+00:00,2022-08-19 07:15:00+00:00,64,22,42,-0.02797999999999856
45,2022-08-19 07:20:00+00:00,2022-08-26 07:15:00+00:00,60,20,40,-0.020750000000001156
46,2022-08-26 07:20:00+00:00,2022-09-02 07:15:00+00:00,78,27,51,-0.045160000000000755
47,2022-09-02 07:20:00+00:00,2022-09-02 23:50:00+00:00,9,5,4,-0.006110000000000504
