Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 08:20:00+00:00,1.16072,2021-10-15 13:30:00+00:00,1.1609,-0.000380000000000069
buy,2021-10-15 13:35:00+00:00,1.16082,2021-10-15 14:45:00+00:00,1.16016,-0.0008599999999998829
short,2021-10-15 15:15:00+00:00,1.16025,2021-10-15 17:50:00+00:00,1.16067,-0.0006200000000000868
short,2021-10-15 23:30:00+00:00,1.15996,2021-10-18 01:05:00+00:00,1.16026,-0.000499999999999967
buy,2021-10-18 01:10:00+00:00,1.16037,2021-10-18 03:20:00+00:00,1.15917,-0.001399999999999868
short,2021-10-18 03:25:00+00:00,1.1593,2021-10-18 05:15:00+00:00,1.15909,1.0000000000043394e-05
buy,2021-10-18 05:20:00+00:00,1.15928,2021-10-18 09:05:00+00:00,1.15776,-0.001720000000000188
buy,2021-10-18 10:10:00+00:00,1.15795,2021-10-18 12:25:00+00:00,1.15829,0.0001400000000000073
short,2021-10-18 13:05:00+00:00,1.15799,2021-10-18 13:45:00+00:00,1.15872,-0.0009299999999998971
buy,2021-10-18 13:50:00+00:00,1.15906,2021-10-18 15:25:00+00:00,1.1608,0.0015400000000000743
buy,2021-10-18 15:35:00+00:00,1.16084,2021-10-18 16:55:00+00:00,1.15999,-0.001050000000000018
short,2021-10-18 18:05:00+00:00,1.15967,2021-10-18 19:05:00+00:00,1.16122,-0.0017499999999999408
short,2021-10-18 20:55:00+00:00,1.16159,2021-10-19 03:55:00+00:00,1.16207,-0.0006800000000000365
short,2021-10-19 14:25:00+00:00,1.16593,2021-10-19 16:25:00+00:00,1.1642,0.0015300000000000088
buy,2021-10-19 16:55:00+00:00,1.16556,2021-10-19 17:35:00+00:00,1.16449,-0.0012699999999999049
short,2021-10-19 17:40:00+00:00,1.16372,2021-10-19 20:30:00+00:00,1.16416,-0.0006399999999999965
buy,2021-10-19 20:35:00+00:00,1.16421,2021-10-20 09:00:00+00:00,1.16449,8.000000000005746e-05
short,2021-10-20 09:05:00+00:00,1.16443,2021-10-20 10:15:00+00:00,1.16291,0.0013199999999999653
short,2021-10-20 10:25:00+00:00,1.16321,2021-10-20 14:05:00+00:00,1.16329,-0.0002799999999998576
buy,2021-10-20 14:10:00+00:00,1.16346,2021-10-20 15:05:00+00:00,1.16252,-0.0011399999999999405
buy,2021-10-20 15:35:00+00:00,1.16345,2021-10-20 18:45:00+00:00,1.16445,0.0007999999999998902
short,2021-10-21 07:00:00+00:00,1.1665,2021-10-21 08:30:00+00:00,1.16497,0.0013300000000000317
short,2021-10-21 08:35:00+00:00,1.16492,2021-10-21 09:15:00+00:00,1.16551,-0.0007900000000000901
buy,2021-10-21 09:20:00+00:00,1.16558,2021-10-21 10:00:00+00:00,1.1647,-0.0010799999999999916
short,2021-10-21 10:05:00+00:00,1.16429,2021-10-21 15:35:00+00:00,1.16426,-0.00017000000000002603
buy,2021-10-21 15:40:00+00:00,1.16451,2021-10-21 19:05:00+00:00,1.16406,-0.0006499999999998399
short,2021-10-21 19:10:00+00:00,1.1636,2021-10-21 23:35:00+00:00,1.16205,0.0013499999999999398
buy,2021-10-22 04:05:00+00:00,1.16272,2021-10-22 09:05:00+00:00,1.1626,-0.0003199999999998985
buy,2021-10-22 09:45:00+00:00,1.16341,2021-10-22 12:00:00+00:00,1.16412,0.0005099999999999888
short,2021-10-22 12:05:00+00:00,1.16381,2021-10-22 16:35:00+00:00,1.16384,-0.00022999999999997415
buy,2021-10-22 16:40:00+00:00,1.16426,2021-10-22 18:15:00+00:00,1.16439,-7.000000000003705e-05
short,2021-10-22 18:20:00+00:00,1.16334,2021-10-22 22:25:00+00:00,1.16389,-0.000750000000000051
buy,2021-10-22 22:30:00+00:00,1.16397,2021-10-25 06:15:00+00:00,1.16573,0.0015599999999999833
