Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 07:20:00+00:00,2021-10-22 07:15:00+00:00,27,9,18,-0.007809999999999583
2,2021-10-22 07:20:00+00:00,2021-10-29 07:15:00+00:00,37,16,21,0.007770000000000568
3,2021-10-29 07:20:00+00:00,2021-11-05 07:15:00+00:00,26,14,12,0.0036299999999998907
4,2021-11-05 07:20:00+00:00,2021-11-12 07:15:00+00:00,31,16,15,0.007439999999999863
5,2021-11-12 07:20:00+00:00,2021-11-19 07:15:00+00:00,28,12,16,0.0072900000000000655
6,2021-11-19 07:20:00+00:00,2021-11-26 07:15:00+00:00,27,19,8,0.017679999999999575
7,2021-11-26 07:20:00+00:00,2021-12-03 07:15:00+00:00,30,14,16,-0.0004100000000004239
8,2021-12-03 07:20:00+00:00,2021-12-10 07:15:00+00:00,24,12,12,0.002519999999999356
9,2021-12-10 07:20:00+00:00,2021-12-17 07:15:00+00:00,40,21,19,0.007369999999999932
10,2021-12-17 07:20:00+00:00,2021-12-24 07:15:00+00:00,30,16,14,0.009880000000000153
11,2021-12-24 07:20:00+00:00,2021-12-31 07:15:00+00:00,29,14,15,0.004859999999999039
12,2021-12-31 07:20:00+00:00,2022-01-07 07:15:00+00:00,36,20,16,0.010719999999999334
13,2022-01-07 07:20:00+00:00,2022-01-14 07:15:00+00:00,30,14,16,0.007500000000000118
14,2022-01-14 07:20:00+00:00,2022-01-21 07:15:00+00:00,26,11,15,-0.003620000000000234
15,2022-01-21 07:20:00+00:00,2022-01-28 07:15:00+00:00,21,12,9,0.006959999999999272
16,2022-01-28 07:20:00+00:00,2022-02-04 07:15:00+00:00,35,19,16,0.009939999999998866
17,2022-02-04 07:20:00+00:00,2022-02-11 07:15:00+00:00,39,20,19,0.011579999999999063
18,2022-02-11 07:20:00+00:00,2022-02-18 07:15:00+00:00,25,14,11,0.002900000000000097
19,2022-02-18 07:20:00+00:00,2022-02-25 07:15:00+00:00,27,16,11,0.01171999999999987
20,2022-02-25 07:20:00+00:00,2022-03-04 07:15:00+00:00,29,18,11,0.011750000000000246
21,2022-03-04 07:20:00+00:00,2022-03-11 07:15:00+00:00,44,27,17,0.018099999999999672
22,2022-03-11 07:20:00+00:00,2022-03-18 07:15:00+00:00,45,30,15,0.024099999999998983
23,2022-03-18 07:20:00+00:00,2022-03-25 07:15:00+00:00,22,12,10,0.0036300000000005217
24,2022-03-25 07:20:00+00:00,2022-04-01 07:15:00+00:00,35,18,17,0.005419999999999231
25,2022-04-01 07:20:00+00:00,2022-04-08 07:15:00+00:00,31,19,12,0.010129999999999556
26,2022-04-08 07:20:00+00:00,2022-04-15 07:15:00+00:00,39,24,15,0.019809999999999467
27,2022-04-15 07:20:00+00:00,2022-04-22 07:15:00+00:00,33,17,16,0.010330000000000367
28,2022-04-22 07:20:00+00:00,2022-04-29 07:15:00+00:00,34,20,14,0.01459999999999878
29,2022-04-29 07:20:00+00:00,2022-05-06 07:15:00+00:00,42,20,22,0.007909999999999806
30,2022-05-06 07:20:00+00:00,2022-05-13 07:15:00+00:00,37,19,18,0.009310000000000956
31,2022-05-13 07:20:00+00:00,2022-05-20 07:15:00+00:00,33,20,13,0.01414000000000093
32,2022-05-20 07:20:00+00:00,2022-05-27 07:15:00+00:00,33,20,13,0.012270000000001113
33,2022-05-27 07:20:00+00:00,2022-06-03 07:15:00+00:00,27,15,12,0.008920000000000483
34,2022-06-03 07:20:00+00:00,2022-06-10 07:15:00+00:00,40,22,18,0.01939000000000135
35,2022-06-10 07:20:00+00:00,2022-06-17 07:15:00+00:00,40,26,14,0.025170000000000803
36,2022-06-17 07:20:00+00:00,2022-06-24 07:15:00+00:00,38,22,16,0.004790000000000294
37,2022-06-24 07:20:00+00:00,2022-07-01 07:15:00+00:00,44,27,17,0.018570000000001752
38,2022-07-01 07:20:00+00:00,2022-07-08 07:15:00+00:00,38,24,14,0.021190000000000486
39,2022-07-08 07:20:00+00:00,2022-07-15 07:15:00+00:00,40,25,15,0.012730000000001018
40,2022-07-15 07:20:00+00:00,2022-07-22 07:15:00+00:00,36,19,17,0.007780000000001008
41,2022-07-22 07:20:00+00:00,2022-07-29 07:15:00+00:00,38,24,14,0.02208000000000121
42,2022-07-29 07:20:00+00:00,2022-08-05 07:15:00+00:00,44,27,17,0.01726000000000094
43,2022-08-05 07:20:00+00:00,2022-08-12 07:15:00+00:00,32,18,13,0.019450000000000633
44,2022-08-12 07:20:00+00:00,2022-08-19 07:15:00+00:00,29,17,11,0.01243000000000083
45,2022-08-19 07:20:00+00:00,2022-08-26 07:15:00+00:00,33,16,17,0.006230000000000513
46,2022-08-26 07:20:00+00:00,2022-09-02 07:15:00+00:00,52,31,21,0.02553000000000083
47,2022-09-02 07:20:00+00:00,2022-09-02 23:50:00+00:00,5,3,2,0.0022700000000001053
