Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 08:20:00+00:00,1.16072,2021-10-15 17:20:00+00:00,1.15916,0.0013600000000000057
short,2021-10-15 23:30:00+00:00,1.15996,2021-10-18 01:05:00+00:00,1.16026,-0.0004999999999999669
short,2021-10-18 02:55:00+00:00,1.15998,2021-10-18 03:55:00+00:00,1.15848,0.0013000000000000568
short,2021-10-18 06:05:00+00:00,1.15896,2021-10-18 09:30:00+00:00,1.15737,0.0013899999999999802
short,2021-10-18 09:40:00+00:00,1.15739,2021-10-18 10:55:00+00:00,1.15893,-0.001740000000000097
buy,2021-10-18 11:00:00+00:00,1.1593,2021-10-18 12:25:00+00:00,1.15829,-0.0012099999999999555
short,2021-10-18 13:05:00+00:00,1.15799,2021-10-18 14:55:00+00:00,1.15909,-0.001299999999999879
buy,2021-10-18 15:00:00+00:00,1.15972,2021-10-18 16:55:00+00:00,1.15999,6.999999999999249e-05
short,2021-10-18 18:05:00+00:00,1.15967,2021-10-18 19:05:00+00:00,1.16122,-0.0017499999999999404
short,2021-10-18 20:55:00+00:00,1.16159,2021-10-19 04:35:00+00:00,1.16318,-0.0017900000000002025
short,2021-10-19 10:15:00+00:00,1.16491,2021-10-19 13:00:00+00:00,1.1666,-0.001890000000000191
short,2021-10-19 14:25:00+00:00,1.16593,2021-10-19 16:25:00+00:00,1.1642,0.0015300000000000088
short,2021-10-19 17:35:00+00:00,1.16449,2021-10-20 03:35:00+00:00,1.16288,0.0014100000000001113
buy,2021-10-20 04:15:00+00:00,1.16397,2021-10-20 09:00:00+00:00,1.16449,0.00032000000000007587
short,2021-10-20 09:05:00+00:00,1.16443,2021-10-20 10:15:00+00:00,1.16291,0.0013199999999999657
short,2021-10-20 10:25:00+00:00,1.16321,2021-10-20 15:45:00+00:00,1.16393,-0.000919999999999832
buy,2021-10-20 15:50:00+00:00,1.16406,2021-10-20 18:45:00+00:00,1.16445,0.00018999999999989034
short,2021-10-20 22:20:00+00:00,1.1651,2021-10-21 05:40:00+00:00,1.16661,-0.0017099999999999004
short,2021-10-21 07:00:00+00:00,1.1665,2021-10-21 08:30:00+00:00,1.16497,0.0013300000000000312
short,2021-10-21 08:35:00+00:00,1.16492,2021-10-21 09:15:00+00:00,1.16551,-0.0007900000000000905
short,2021-10-21 09:50:00+00:00,1.16518,2021-10-21 11:10:00+00:00,1.16351,0.0014700000000000602
short,2021-10-21 11:20:00+00:00,1.1637,2021-10-21 23:05:00+00:00,1.16215,0.0013499999999999402
short,2021-10-22 03:50:00+00:00,1.16249,2021-10-22 10:25:00+00:00,1.16416,-0.0018700000000000604
short,2021-10-22 12:00:00+00:00,1.16412,2021-10-22 15:20:00+00:00,1.16253,0.0013899999999999802
buy,2021-10-22 16:35:00+00:00,1.16384,2021-10-22 18:10:00+00:00,1.16535,0.0013100000000001223
short,2021-10-22 18:15:00+00:00,1.16439,2021-10-22 19:10:00+00:00,1.1628,0.0013899999999999802
short,2021-10-25 02:40:00+00:00,1.16357,2021-10-25 06:10:00+00:00,1.16527,-0.001900000000000035
short,2021-10-25 08:00:00+00:00,1.16599,2021-10-25 10:00:00+00:00,1.16446,0.0013300000000000312
buy,2021-10-25 10:40:00+00:00,1.16587,2021-10-25 12:10:00+00:00,1.16487,-0.00119999999999989
short,2021-10-25 12:15:00+00:00,1.16437,2021-10-25 12:40:00+00:00,1.16262,0.0015499999999999182
short,2021-10-25 12:45:00+00:00,1.16268,2021-10-25 14:45:00+00:00,1.16059,0.0018899999999999252
short,2021-10-25 14:50:00+00:00,1.16046,2021-10-26 11:10:00+00:00,1.16042,-0.0001599999999999601
buy,2021-10-26 11:15:00+00:00,1.1606,2021-10-26 13:50:00+00:00,1.16219,0.0013899999999999798
short,2021-10-26 15:00:00+00:00,1.16162,2021-10-26 17:55:00+00:00,1.15985,0.0015700000000000488
short,2021-10-26 18:30:00+00:00,1.15944,2021-10-27 09:30:00+00:00,1.16025,-0.001009999999999978
buy,2021-10-27 10:00:00+00:00,1.16062,2021-10-27 11:05:00+00:00,1.1604,-0.0004199999999998866
short,2021-10-27 11:25:00+00:00,1.16049,2021-10-27 12:30:00+00:00,1.1589,0.0013899999999999807
buy,2021-10-27 14:30:00+00:00,1.1603,2021-10-27 15:25:00+00:00,1.16191,0.0014099999999998888
buy,2021-10-27 15:30:00+00:00,1.16207,2021-10-27 17:20:00+00:00,1.16133,-0.0009399999999999626
short,2021-10-27 17:25:00+00:00,1.16081,2021-10-27 18:15:00+00:00,1.15929,0.0013199999999999662
short,2021-10-27 18:20:00+00:00,1.15951,2021-10-27 19:45:00+00:00,1.16046,-0.001150000000000007
buy,2021-10-27 19:50:00+00:00,1.16073,2021-10-27 22:00:00+00:00,1.16093,-2.168404344971009e-17
short,2021-10-27 22:05:00+00:00,1.16075,2021-10-28 03:35:00+00:00,1.15922,0.0013300000000000317
short,2021-10-28 03:40:00+00:00,1.15913,2021-10-28 04:55:00+00:00,1.16035,-0.0014199999999999994
buy,2021-10-28 05:00:00+00:00,1.16041,2021-10-28 08:55:00+00:00,1.16025,-0.0003599999999999376
short,2021-10-28 09:00:00+00:00,1.16009,2021-10-28 10:35:00+00:00,1.16054,-0.0006499999999998391
buy,2021-10-28 10:40:00+00:00,1.16094,2021-10-28 11:35:00+00:00,1.15985,-0.001290000000000036
short,2021-10-28 11:40:00+00:00,1.15927,2021-10-28 13:20:00+00:00,1.15963,-0.000559999999999916
buy,2021-10-28 13:25:00+00:00,1.15993,2021-10-28 14:55:00+00:00,1.16022,9.00000000001234e-05
short,2021-10-28 15:00:00+00:00,1.15971,2021-10-28 15:40:00+00:00,1.15942,9.000000000012384e-05
buy,2021-10-28 15:45:00+00:00,1.16199,2021-10-28 16:10:00+00:00,1.16392,0.0017299999999999868
buy,2021-10-28 16:15:00+00:00,1.16409,2021-10-28 17:00:00+00:00,1.16579,0.0015000000000000343
buy,2021-10-28 17:05:00+00:00,1.16615,2021-10-28 17:20:00+00:00,1.16808,0.0017299999999999868
short,2021-10-28 20:00:00+00:00,1.16782,2021-10-29 09:45:00+00:00,1.16629,0.0013300000000000308
short,2021-10-29 09:50:00+00:00,1.16612,2021-10-29 12:35:00+00:00,1.16453,0.0013899999999999798
short,2021-10-29 15:15:00+00:00,1.1645,2021-10-29 15:50:00+00:00,1.16238,0.0019200000000001213
short,2021-10-29 16:05:00+00:00,1.16233,2021-10-29 17:05:00+00:00,1.16068,0.0014500000000001508
short,2021-10-29 17:15:00+00:00,1.16071,2021-10-29 17:55:00+00:00,1.15738,0.0031299999999998343
short,2021-10-29 18:15:00+00:00,1.15709,2021-10-29 18:40:00+00:00,1.15544,0.0014499999999999305
short,2021-10-29 19:00:00+00:00,1.15497,2021-11-01 00:15:00+00:00,1.15656,-0.001789999999999979
short,2021-11-01 02:50:00+00:00,1.15595,2021-11-01 08:05:00+00:00,1.15535,0.00039999999999993513
buy,2021-11-01 08:10:00+00:00,1.15559,2021-11-01 10:05:00+00:00,1.1558,1.0000000000044695e-05
short,2021-11-01 10:10:00+00:00,1.15531,2021-11-01 10:55:00+00:00,1.1548,0.00031000000000001166
buy,2021-11-01 11:00:00+00:00,1.15637,2021-11-01 16:20:00+00:00,1.15802,0.0014500000000001526
short,2021-11-01 16:40:00+00:00,1.15723,2021-11-01 18:40:00+00:00,1.15895,-0.0019199999999999426
short,2021-11-02 00:00:00+00:00,1.16048,2021-11-02 12:00:00+00:00,1.15888,0.001400000000000047
buy,2021-11-02 13:45:00+00:00,1.15981,2021-11-02 16:25:00+00:00,1.15976,-0.0002500000000001043
short,2021-11-02 16:35:00+00:00,1.1599,2021-11-02 17:15:00+00:00,1.15833,0.0013699999999998505
short,2021-11-02 18:55:00+00:00,1.15845,2021-11-03 11:15:00+00:00,1.15843,-0.0001800000000000898
short,2021-11-03 13:05:00+00:00,1.15848,2021-11-03 17:00:00+00:00,1.15673,0.0015499999999999195
short,2021-11-03 17:05:00+00:00,1.15673,2021-11-03 18:25:00+00:00,1.15791,-0.0013799999999999576
buy,2021-11-03 18:30:00+00:00,1.15838,2021-11-03 21:50:00+00:00,1.16087,0.0022900000000001045
short,2021-11-04 04:05:00+00:00,1.16115,2021-11-04 06:30:00+00:00,1.15963,0.001319999999999967
short,2021-11-04 06:35:00+00:00,1.1595,2021-11-04 10:00:00+00:00,1.15781,0.0014899999999999705
short,2021-11-04 10:10:00+00:00,1.15796,2021-11-04 11:05:00+00:00,1.15618,0.001580000000000116
short,2021-11-04 11:10:00+00:00,1.15568,2021-11-04 18:05:00+00:00,1.15398,0.001500000000000036
short,2021-11-04 18:20:00+00:00,1.15409,2021-11-04 22:45:00+00:00,1.15564,-0.001749999999999939
buy,2021-11-05 07:10:00+00:00,1.15495,2021-11-05 11:25:00+00:00,1.15541,0.0002600000000001282
short,2021-11-05 11:50:00+00:00,1.15525,2021-11-05 13:10:00+00:00,1.15352,0.0015300000000000105
short,2021-11-05 13:25:00+00:00,1.15359,2021-11-05 16:00:00+00:00,1.15144,0.0019499999999998754
buy,2021-11-05 18:35:00+00:00,1.15473,2021-11-05 19:55:00+00:00,1.15652,0.0015899999999999595
buy,2021-11-05 20:05:00+00:00,1.1566,2021-11-05 21:05:00+00:00,1.15559,-0.0012100000000001762
short,2021-11-05 21:20:00+00:00,1.15559,2021-11-08 10:40:00+00:00,1.15645,-0.0010600000000000817
buy,2021-11-08 10:45:00+00:00,1.15691,2021-11-08 15:45:00+00:00,1.15714,2.9999999999953675e-05
short,2021-11-08 15:55:00+00:00,1.15693,2021-11-08 17:15:00+00:00,1.15876,-0.002029999999999997
short,2021-11-08 19:50:00+00:00,1.15864,2021-11-09 05:15:00+00:00,1.15855,-0.00011000000000007532
buy,2021-11-09 05:20:00+00:00,1.15877,2021-11-09 07:35:00+00:00,1.16036,0.0013899999999999815
short,2021-11-09 08:45:00+00:00,1.15999,2021-11-09 10:30:00+00:00,1.15839,0.001400000000000047
buy,2021-11-09 11:45:00+00:00,1.15946,2021-11-09 13:25:00+00:00,1.15904,-0.0006199999999998637
short,2021-11-09 13:30:00+00:00,1.15892,2021-11-09 14:45:00+00:00,1.15741,0.0013099999999999015
short,2021-11-09 14:50:00+00:00,1.15735,2021-11-09 15:40:00+00:00,1.1578,-0.0006499999999998382
buy,2021-11-09 15:45:00+00:00,1.15842,2021-11-09 16:05:00+00:00,1.15993,0.0013099999999999015
buy,2021-11-09 16:40:00+00:00,1.15983,2021-11-09 17:10:00+00:00,1.1581,-0.001930000000000008
buy,2021-11-09 18:55:00+00:00,1.1585,2021-11-10 04:35:00+00:00,1.15873,2.9999999999953675e-05
short,2021-11-10 04:40:00+00:00,1.15875,2021-11-10 09:25:00+00:00,1.15718,0.0013699999999998505
short,2021-11-10 09:30:00+00:00,1.1572,2021-11-10 13:25:00+00:00,1.15529,0.0017100000000000795
short,2021-11-10 13:35:00+00:00,1.1554,2021-11-10 16:30:00+00:00,1.15637,-0.0011699999999999142
buy,2021-11-10 16:35:00+00:00,1.15725,2021-11-10 17:10:00+00:00,1.15552,-0.001929999999999786
short,2021-11-10 17:20:00+00:00,1.15471,2021-11-10 17:30:00+00:00,1.15294,0.0015699999999998285
short,2021-11-10 17:40:00+00:00,1.15223,2021-11-10 20:05:00+00:00,1.15048,0.0015500000000001415
short,2021-11-10 21:55:00+00:00,1.14915,2021-11-11 03:10:00+00:00,1.14751,0.001439999999999865
short,2021-11-11 04:50:00+00:00,1.14713,2021-11-11 10:20:00+00:00,1.14555,0.001379999999999916
short,2021-11-11 13:10:00+00:00,1.14586,2021-11-11 17:35:00+00:00,1.1471,-0.0014399999999999066
buy,2021-11-11 17:40:00+00:00,1.14721,2021-11-11 18:30:00+00:00,1.14626,-0.0011500000000000052
