Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 07:20:00+00:00,2021-10-22 07:15:00+00:00,22,12,10,-0.0005599999999999364
2,2021-10-22 07:20:00+00:00,2021-10-29 07:15:00+00:00,31,17,14,0.009480000000000578
3,2021-10-29 07:20:00+00:00,2021-11-05 07:15:00+00:00,24,18,6,0.01807000000000019
4,2021-11-05 07:20:00+00:00,2021-11-12 07:15:00+00:00,28,17,11,0.007889999999999814
5,2021-11-12 07:20:00+00:00,2021-11-19 07:15:00+00:00,27,13,14,0.009640000000000197
6,2021-11-19 07:20:00+00:00,2021-11-26 07:15:00+00:00,26,16,10,0.012040000000000176
7,2021-11-26 07:20:00+00:00,2021-12-03 07:15:00+00:00,23,11,12,0.0005000000000001323
8,2021-12-03 07:20:00+00:00,2021-12-10 07:15:00+00:00,27,19,8,0.014189999999999245
9,2021-12-10 07:20:00+00:00,2021-12-17 07:15:00+00:00,31,17,14,0.009919999999999068
10,2021-12-17 07:20:00+00:00,2021-12-24 07:15:00+00:00,28,17,11,0.007129999999999526
11,2021-12-24 07:20:00+00:00,2021-12-31 07:15:00+00:00,28,10,18,-0.0035400000000008758
12,2021-12-31 07:20:00+00:00,2022-01-07 07:15:00+00:00,27,13,14,0.003029999999999783
13,2022-01-07 07:20:00+00:00,2022-01-14 07:15:00+00:00,27,12,15,0.004629999999999829
14,2022-01-14 07:20:00+00:00,2022-01-21 07:15:00+00:00,26,13,13,0.0006699999999996709
15,2022-01-21 07:20:00+00:00,2022-01-28 07:15:00+00:00,23,11,12,-0.0004000000000003723
16,2022-01-28 07:20:00+00:00,2022-02-04 07:15:00+00:00,24,11,13,-0.0021299999999999653
17,2022-02-04 07:20:00+00:00,2022-02-11 07:15:00+00:00,36,20,16,0.015169999999999795
18,2022-02-11 07:20:00+00:00,2022-02-18 07:15:00+00:00,19,13,6,0.012830000000000258
19,2022-02-18 07:20:00+00:00,2022-02-25 07:15:00+00:00,33,24,9,0.02602999999999908
20,2022-02-25 07:20:00+00:00,2022-03-04 07:15:00+00:00,33,23,10,0.021380000000000815
21,2022-03-04 07:20:00+00:00,2022-03-11 07:15:00+00:00,42,25,17,0.01659000000000005
22,2022-03-11 07:20:00+00:00,2022-03-18 07:15:00+00:00,40,28,12,0.020689999999998987
23,2022-03-18 07:20:00+00:00,2022-03-25 07:15:00+00:00,27,16,11,0.009890000000000315
24,2022-03-25 07:20:00+00:00,2022-04-01 07:15:00+00:00,35,21,14,0.009589999999998794
25,2022-04-01 07:20:00+00:00,2022-04-08 07:15:00+00:00,31,20,11,0.014610000000000262
26,2022-04-08 07:20:00+00:00,2022-04-15 07:15:00+00:00,34,22,12,0.019819999999999977
27,2022-04-15 07:20:00+00:00,2022-04-22 07:15:00+00:00,24,14,10,0.009380000000001054
28,2022-04-22 07:20:00+00:00,2022-04-29 07:15:00+00:00,37,28,8,0.030740000000000434
29,2022-04-29 07:20:00+00:00,2022-05-06 07:15:00+00:00,40,23,17,0.013140000000000596
30,2022-05-06 07:20:00+00:00,2022-05-13 07:15:00+00:00,34,19,15,0.00784000000000118
31,2022-05-13 07:20:00+00:00,2022-05-20 07:15:00+00:00,30,18,12,0.011080000000000423
32,2022-05-20 07:20:00+00:00,2022-05-27 07:15:00+00:00,30,16,14,-2.9999999999086313e-05
33,2022-05-27 07:20:00+00:00,2022-06-03 07:15:00+00:00,28,14,14,0.0018500000000007955
34,2022-06-03 07:20:00+00:00,2022-06-10 07:15:00+00:00,38,19,19,0.009060000000001178
35,2022-06-10 07:20:00+00:00,2022-06-17 07:15:00+00:00,41,31,10,0.03432000000000013
36,2022-06-17 07:20:00+00:00,2022-06-24 07:15:00+00:00,31,21,10,0.011220000000000674
37,2022-06-24 07:20:00+00:00,2022-07-01 07:15:00+00:00,40,27,13,0.021390000000000686
38,2022-07-01 07:20:00+00:00,2022-07-08 07:15:00+00:00,36,23,13,0.020500000000000185
39,2022-07-08 07:20:00+00:00,2022-07-15 07:15:00+00:00,44,26,18,0.014690000000001091
40,2022-07-15 07:20:00+00:00,2022-07-22 07:15:00+00:00,32,16,16,-0.004429999999999712
41,2022-07-22 07:20:00+00:00,2022-07-29 07:15:00+00:00,38,21,17,0.006770000000001053
42,2022-07-29 07:20:00+00:00,2022-08-05 07:15:00+00:00,38,22,16,0.007600000000000939
43,2022-08-05 07:20:00+00:00,2022-08-12 07:15:00+00:00,26,15,11,0.01097999999999999
44,2022-08-12 07:20:00+00:00,2022-08-19 07:15:00+00:00,33,24,9,0.028950000000000697
45,2022-08-19 07:20:00+00:00,2022-08-26 07:15:00+00:00,32,18,14,0.010849999999999915
46,2022-08-26 07:20:00+00:00,2022-09-02 07:15:00+00:00,43,28,15,0.024490000000000567
47,2022-09-02 07:20:00+00:00,2022-09-02 23:50:00+00:00,5,3,2,0.0022700000000001053
