Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2021-10-14 20:04:00+00:00,1.15847,2021-10-14 21:04:00+00:00,1.1591,0.00042999999999990843
short,2021-10-14 21:30:00+00:00,1.15919,2021-10-14 23:16:00+00:00,1.15964,-0.0006500000000000614
buy,2021-10-15 00:00:00+00:00,1.15966,2021-10-15 01:24:00+00:00,1.15979,-6.999999999981446e-05
short,2021-10-15 01:29:00+00:00,1.15985,2021-10-15 02:28:00+00:00,1.15962,2.9999999999952482e-05
buy,2021-10-15 02:33:00+00:00,1.15948,2021-10-15 04:10:00+00:00,1.15953,-0.0001500000000001165
short,2021-10-15 04:20:00+00:00,1.15973,2021-10-15 06:53:00+00:00,1.16077,-0.001240000000000152
buy,2021-10-15 08:07:00+00:00,1.16076,2021-10-15 09:25:00+00:00,1.16073,-0.00022999999999997458
short,2021-10-15 09:31:00+00:00,1.16083,2021-10-15 11:50:00+00:00,1.16049,0.00014000000000000687
buy,2021-10-15 11:51:00+00:00,1.16055,2021-10-15 13:21:00+00:00,1.16074,-9.999999999865585e-06
short,2021-10-15 13:29:00+00:00,1.16085,2021-10-15 14:41:00+00:00,1.16048,0.00016999999999998136
buy,2021-10-15 14:50:00+00:00,1.16031,2021-10-15 16:35:00+00:00,1.16015,-0.00035999999999993806
buy,2021-10-15 17:11:00+00:00,1.15941,2021-10-15 17:52:00+00:00,1.16091,0.0013000000000000568
short,2021-10-15 17:56:00+00:00,1.16068,2021-10-15 18:49:00+00:00,1.15953,0.0009499999999999844
buy,2021-10-15 18:59:00+00:00,1.15937,2021-10-15 20:44:00+00:00,1.15988,0.00031000000000001046
short,2021-10-15 22:04:00+00:00,1.16053,2021-10-15 22:37:00+00:00,1.16017,0.000160000000000138
short,2021-10-15 22:58:00+00:00,1.16047,2021-10-15 23:37:00+00:00,1.16013,0.00013999999999978494
buy,2021-10-15 23:42:00+00:00,1.16003,2021-10-18 00:36:00+00:00,1.15997,-0.00025999999999994897
short,2021-10-18 01:16:00+00:00,1.16034,2021-10-18 03:22:00+00:00,1.15918,0.0009599999999998279
buy,2021-10-18 03:39:00+00:00,1.15906,2021-10-18 05:12:00+00:00,1.15915,-0.00011000000000007662
short,2021-10-18 05:14:00+00:00,1.15919,2021-10-18 06:18:00+00:00,1.15879,0.00019999999999995586
buy,2021-10-18 06:22:00+00:00,1.15875,2021-10-18 09:49:00+00:00,1.15724,-0.0017099999999999004
short,2021-10-18 10:20:00+00:00,1.15815,2021-10-18 11:47:00+00:00,1.15831,-0.00035999999999993795
buy,2021-10-18 13:16:00+00:00,1.1579,2021-10-18 13:44:00+00:00,1.15876,0.0006600000000000829
short,2021-10-18 13:48:00+00:00,1.15893,2021-10-18 15:23:00+00:00,1.16051,-0.001779999999999915
short,2021-10-18 15:28:00+00:00,1.1605,2021-10-18 16:06:00+00:00,1.16003,0.0002700000000001924
short,2021-10-18 16:34:00+00:00,1.16081,2021-10-18 17:03:00+00:00,1.15988,0.0007299999999998754
