Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 20:03:00+00:00,2021-10-21 20:02:00+00:00,63,32,31,-0.006899999999999525
2,2021-10-21 20:03:00+00:00,2021-10-28 20:02:00+00:00,68,36,32,-0.01711000000000076
3,2021-10-28 20:03:00+00:00,2021-11-04 20:02:00+00:00,63,29,34,-0.018429999999999263
4,2021-11-04 20:03:00+00:00,2021-11-11 20:02:00+00:00,68,38,30,-0.0007100000000005158
5,2021-11-11 20:03:00+00:00,2021-11-18 20:02:00+00:00,70,38,32,-0.013610000000000469
6,2021-11-18 20:03:00+00:00,2021-11-25 20:02:00+00:00,64,34,30,-0.006839999999999805
7,2021-11-25 20:03:00+00:00,2021-12-02 20:02:00+00:00,67,38,29,-0.0013800000000011303
8,2021-12-02 20:03:00+00:00,2021-12-09 20:02:00+00:00,76,37,39,-0.009960000000000052
9,2021-12-09 20:03:00+00:00,2021-12-16 20:02:00+00:00,70,32,38,-0.022830000000000295
10,2021-12-16 20:03:00+00:00,2021-12-23 20:02:00+00:00,65,28,37,-0.024220000000001046
11,2021-12-23 20:03:00+00:00,2021-12-30 20:02:00+00:00,60,25,35,-0.01899999999999978
12,2021-12-30 20:03:00+00:00,2022-01-06 20:02:00+00:00,64,36,28,-0.009199999999999875
13,2022-01-06 20:03:00+00:00,2022-01-13 20:02:00+00:00,62,32,30,-0.010490000000000055
14,2022-01-13 20:03:00+00:00,2022-01-20 20:02:00+00:00,67,47,20,0.002329999999999638
15,2022-01-20 20:03:00+00:00,2022-01-27 20:02:00+00:00,67,35,32,-0.011450000000001376
16,2022-01-27 20:03:00+00:00,2022-02-03 20:02:00+00:00,72,39,33,-0.013910000000000311
17,2022-02-03 20:03:00+00:00,2022-02-10 20:02:00+00:00,78,48,30,0.008550000000000335
18,2022-02-10 20:03:00+00:00,2022-02-17 20:02:00+00:00,71,49,22,0.007460000000000494
19,2022-02-17 20:03:00+00:00,2022-02-24 20:02:00+00:00,73,37,36,-0.023570000000002117
20,2022-02-24 20:03:00+00:00,2022-03-03 20:02:00+00:00,86,46,40,-0.0037899999999992384
21,2022-03-03 20:03:00+00:00,2022-03-10 20:02:00+00:00,107,56,51,-0.026459999999999567
22,2022-03-10 20:03:00+00:00,2022-03-17 20:02:00+00:00,88,44,44,-0.024620000000000086
23,2022-03-17 20:03:00+00:00,2022-03-24 20:02:00+00:00,75,46,29,-0.009229999999997685
24,2022-03-24 20:03:00+00:00,2022-03-31 20:02:00+00:00,83,42,41,-0.015209999999998391
25,2022-03-31 20:03:00+00:00,2022-04-07 20:02:00+00:00,72,45,26,-0.0014799999999990376
26,2022-04-07 20:03:00+00:00,2022-04-14 20:02:00+00:00,71,41,29,-0.006479999999998931
27,2022-04-14 20:03:00+00:00,2022-04-21 20:02:00+00:00,71,35,36,-0.012219999999997677
28,2022-04-21 20:03:00+00:00,2022-04-28 20:02:00+00:00,84,45,39,-0.016489999999997673
29,2022-04-28 20:03:00+00:00,2022-05-05 20:02:00+00:00,84,51,33,0.0007100000000019868
30,2022-05-05 20:03:00+00:00,2022-05-12 20:02:00+00:00,89,57,32,0.0006200000000031736
31,2022-05-12 20:03:00+00:00,2022-05-19 20:02:00+00:00,81,41,40,-0.019429999999998504
32,2022-05-19 20:03:00+00:00,2022-05-26 20:02:00+00:00,74,45,29,-0.0021399999999991426
33,2022-05-26 20:03:00+00:00,2022-06-02 20:02:00+00:00,68,38,30,-0.016069999999998474
34,2022-06-02 20:03:00+00:00,2022-06-09 20:02:00+00:00,76,44,31,-0.008439999999999559
35,2022-06-09 20:03:00+00:00,2022-06-16 20:02:00+00:00,104,56,48,-0.016519999999998314
36,2022-06-16 20:03:00+00:00,2022-06-23 20:02:00+00:00,74,41,33,-0.013309999999998157
37,2022-06-23 20:03:00+00:00,2022-06-30 20:02:00+00:00,81,49,32,-0.012799999999995926
38,2022-06-30 20:03:00+00:00,2022-07-07 20:02:00+00:00,81,45,36,-0.015079999999999094
39,2022-07-07 20:03:00+00:00,2022-07-14 20:02:00+00:00,91,53,38,-0.003249999999999531
40,2022-07-14 20:03:00+00:00,2022-07-21 20:02:00+00:00,92,55,37,-0.010059999999997848
41,2022-07-21 20:03:00+00:00,2022-07-28 20:02:00+00:00,86,50,36,-0.009629999999997585
42,2022-07-28 20:03:00+00:00,2022-08-04 20:02:00+00:00,80,39,41,-0.023359999999998493
43,2022-08-04 20:03:00+00:00,2022-08-11 20:02:00+00:00,73,31,42,-0.03771999999999798
44,2022-08-11 20:03:00+00:00,2022-08-18 20:02:00+00:00,81,42,39,-0.010189999999999089
45,2022-08-18 20:03:00+00:00,2022-08-25 20:02:00+00:00,81,45,36,-0.0028799999999987724
46,2022-08-25 20:03:00+00:00,2022-09-01 20:02:00+00:00,90,49,41,-0.012749999999998374
47,2022-09-01 20:03:00+00:00,2022-09-02 23:55:00+00:00,18,12,6,0.006770000000000165
