Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 20:03:00+00:00,2021-10-21 20:02:00+00:00,4,3,1,0.0025000000000000807
2,2021-10-21 20:03:00+00:00,2021-10-28 20:02:00+00:00,7,3,4,-0.0031399999999998534
3,2021-10-28 20:03:00+00:00,2021-11-04 20:02:00+00:00,7,2,5,-0.006279999999999774
4,2021-11-04 20:03:00+00:00,2021-11-11 20:02:00+00:00,10,6,4,0.000590000000000087
5,2021-11-11 20:03:00+00:00,2021-11-18 20:02:00+00:00,11,6,5,-0.0032599999999998446
6,2021-11-18 20:03:00+00:00,2021-11-25 20:02:00+00:00,6,3,3,-0.0014899999999996826
7,2021-11-25 20:03:00+00:00,2021-12-02 20:02:00+00:00,14,9,5,0.005090000000000169
8,2021-12-02 20:03:00+00:00,2021-12-09 20:02:00+00:00,9,4,5,-0.00352999999999957
9,2021-12-09 20:03:00+00:00,2021-12-16 20:02:00+00:00,6,3,3,-0.0015100000000002577
10,2021-12-16 20:03:00+00:00,2021-12-23 20:02:00+00:00,8,2,6,-0.008029999999999936
11,2021-12-23 20:03:00+00:00,2021-12-30 20:02:00+00:00,5,1,4,-0.00582000000000004
12,2021-12-30 20:03:00+00:00,2022-01-06 20:02:00+00:00,8,5,3,0.0018199999999999883
13,2022-01-06 20:03:00+00:00,2022-01-13 20:02:00+00:00,5,2,3,-0.0032999999999999627
14,2022-01-13 20:03:00+00:00,2022-01-20 20:02:00+00:00,7,2,5,-0.0065000000000000994
15,2022-01-20 20:03:00+00:00,2022-01-27 20:02:00+00:00,6,3,3,-0.0016199999999998577
16,2022-01-27 20:03:00+00:00,2022-02-03 20:02:00+00:00,4,1,3,-0.0038699999999996793
17,2022-02-03 20:03:00+00:00,2022-02-10 20:02:00+00:00,5,2,3,-0.002480000000000364
18,2022-02-10 20:03:00+00:00,2022-02-17 20:02:00+00:00,11,8,3,0.005819999999999929
19,2022-02-17 20:03:00+00:00,2022-02-24 20:02:00+00:00,8,4,4,-0.0016100000000002779
20,2022-02-24 20:03:00+00:00,2022-03-03 20:02:00+00:00,7,4,3,0.0004000000000000323
21,2022-03-03 20:03:00+00:00,2022-03-10 20:02:00+00:00,9,6,3,0.0025400000000004655
22,2022-03-10 20:03:00+00:00,2022-03-17 20:02:00+00:00,7,4,3,-0.00014999999999979613
23,2022-03-17 20:03:00+00:00,2022-03-24 20:02:00+00:00,10,3,7,-0.008840000000000167
24,2022-03-24 20:03:00+00:00,2022-03-31 20:02:00+00:00,6,4,2,0.002440000000000317
25,2022-03-31 20:03:00+00:00,2022-04-07 20:02:00+00:00,11,3,8,-0.010280000000000296
26,2022-04-07 20:03:00+00:00,2022-04-14 20:02:00+00:00,5,3,2,0.0008600000000002009
27,2022-04-14 20:03:00+00:00,2022-04-21 20:02:00+00:00,9,4,5,-0.0031500000000001735
28,2022-04-21 20:03:00+00:00,2022-04-28 20:02:00+00:00,8,4,4,-0.0017000000000002014
29,2022-04-28 20:03:00+00:00,2022-05-05 20:02:00+00:00,7,4,3,0.0002800000000001343
30,2022-05-05 20:03:00+00:00,2022-05-12 20:02:00+00:00,6,2,4,-0.002689999999999984
31,2022-05-12 20:03:00+00:00,2022-05-19 20:02:00+00:00,3,3,0,0.004490000000000265
32,2022-05-19 20:03:00+00:00,2022-05-26 20:02:00+00:00,5,1,4,-0.005750000000000026
33,2022-05-26 20:03:00+00:00,2022-06-02 20:02:00+00:00,6,3,3,-0.0015500000000000652
34,2022-06-02 20:03:00+00:00,2022-06-09 20:02:00+00:00,7,4,3,0.0010199999999998752
35,2022-06-09 20:03:00+00:00,2022-06-16 20:02:00+00:00,8,3,5,-0.00587000000000025
36,2022-06-16 20:03:00+00:00,2022-06-23 20:02:00+00:00,7,1,6,-0.009500000000000258
37,2022-06-23 20:03:00+00:00,2022-06-30 20:02:00+00:00,5,1,4,-0.0061299999999998855
38,2022-06-30 20:03:00+00:00,2022-07-07 20:02:00+00:00,10,6,4,0.0008299999999996088
39,2022-07-07 20:03:00+00:00,2022-07-14 20:02:00+00:00,11,3,8,-0.009709999999999747
40,2022-07-14 20:03:00+00:00,2022-07-21 20:02:00+00:00,10,3,7,-0.009590000000000265
41,2022-07-21 20:03:00+00:00,2022-07-28 20:02:00+00:00,7,3,4,-0.002940000000000359
42,2022-07-28 20:03:00+00:00,2022-08-04 20:02:00+00:00,3,1,2,-0.002139999999999892
43,2022-08-04 20:03:00+00:00,2022-08-11 20:02:00+00:00,2,1,1,-0.0003800000000001025
44,2022-08-11 20:03:00+00:00,2022-08-18 20:02:00+00:00,12,3,9,-0.011999999999999456
45,2022-08-18 20:03:00+00:00,2022-08-25 20:02:00+00:00,10,3,7,-0.00871999999999988
46,2022-08-25 20:03:00+00:00,2022-09-01 20:02:00+00:00,10,7,3,0.0043299999999998895
47,2022-09-01 20:03:00+00:00,2022-09-02 23:55:00+00:00,2,1,1,-0.00038999999999994595
