Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2021-10-14 20:05:00+00:00,1.15851,2021-10-14 21:26:00+00:00,1.15924,0.0005300000000001195
short,2021-10-14 21:27:00+00:00,1.15927,2021-10-14 22:08:00+00:00,1.15969,-0.000620000000000087
short,2021-10-14 22:39:00+00:00,1.15973,2021-10-14 22:56:00+00:00,1.15988,-0.0003500000000000945
buy,2021-10-15 00:19:00+00:00,1.15982,2021-10-15 00:22:00+00:00,1.15964,-0.000380000000000069
buy,2021-10-15 00:47:00+00:00,1.15982,2021-10-15 01:19:00+00:00,1.15985,-0.0001700000000000256
short,2021-10-15 01:20:00+00:00,1.15987,2021-10-15 01:36:00+00:00,1.15967,-2.211772431870429e-17
buy,2021-10-15 01:37:00+00:00,1.15969,2021-10-15 04:24:00+00:00,1.1598,-9.000000000016764e-05
short,2021-10-15 04:25:00+00:00,1.1598,2021-10-15 06:25:00+00:00,1.16102,-0.001419999999999999
buy,2021-10-15 06:26:00+00:00,1.16093,2021-10-15 07:23:00+00:00,1.16087,-0.0002599999999999491
short,2021-10-15 07:24:00+00:00,1.16091,2021-10-15 07:57:00+00:00,1.16081,-9.999999999978906e-05
buy,2021-10-15 07:58:00+00:00,1.16077,2021-10-15 09:51:00+00:00,1.16108,0.00010999999999981034
short,2021-10-15 09:52:00+00:00,1.16111,2021-10-15 11:36:00+00:00,1.16083,8.000000000005789e-05
buy,2021-10-15 11:37:00+00:00,1.16068,2021-10-15 13:53:00+00:00,1.16114,0.0002600000000001269
short,2021-10-15 13:54:00+00:00,1.16109,2021-10-15 14:45:00+00:00,1.16016,0.0007299999999998753
buy,2021-10-15 14:46:00+00:00,1.16007,2021-10-15 17:49:00+00:00,1.16069,0.00042000000000006485
short,2021-10-15 17:50:00+00:00,1.16067,2021-10-15 19:00:00+00:00,1.15935,0.0011199999999999878
buy,2021-10-15 19:01:00+00:00,1.15927,2021-10-15 19:39:00+00:00,1.15937,-0.00010000000000001102
short,2021-10-15 20:39:00+00:00,1.15987,2021-10-15 22:10:00+00:00,1.1603,-0.0006300000000001525
short,2021-10-15 22:56:00+00:00,1.16059,2021-10-15 23:00:00+00:00,1.16035,4.0000000000017994e-05
short,2021-10-15 23:06:00+00:00,1.16054,2021-10-15 23:44:00+00:00,1.1599,0.00043999999999997394
buy,2021-10-15 23:45:00+00:00,1.1599,2021-10-18 01:12:00+00:00,1.16036,0.000260000000000127
buy,2021-10-18 02:58:00+00:00,1.15967,2021-10-18 05:22:00+00:00,1.15939,-0.00048000000000005796
short,2021-10-18 05:23:00+00:00,1.15936,2021-10-18 05:57:00+00:00,1.15914,1.999999999988697e-05
buy,2021-10-18 06:06:00+00:00,1.1589,2021-10-18 09:29:00+00:00,1.1574,-0.001700000000000057
buy,2021-10-18 09:30:00+00:00,1.15737,2021-10-18 10:12:00+00:00,1.15814,0.0005699999999999373
short,2021-10-18 10:16:00+00:00,1.15821,2021-10-18 11:16:00+00:00,1.15923,-0.001220000000000021
buy,2021-10-18 11:18:00+00:00,1.15925,2021-10-18 13:09:00+00:00,1.15774,-0.0017099999999999004
