Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 20:03:00+00:00,2021-10-21 20:02:00+00:00,67,30,37,-0.016640000000000578
2,2021-10-21 20:03:00+00:00,2021-10-28 20:02:00+00:00,77,32,45,-0.020470000000000037
3,2021-10-28 20:03:00+00:00,2021-11-04 20:02:00+00:00,55,25,30,-0.02345000000000045
4,2021-11-04 20:03:00+00:00,2021-11-11 20:02:00+00:00,69,30,39,-0.012480000000000359
5,2021-11-11 20:03:00+00:00,2021-11-18 20:02:00+00:00,64,32,32,-0.021879999999999233
6,2021-11-18 20:03:00+00:00,2021-11-25 20:02:00+00:00,72,39,33,-0.012040000000001605
7,2021-11-25 20:03:00+00:00,2021-12-02 20:02:00+00:00,81,33,48,-0.033440000000000594
8,2021-12-02 20:03:00+00:00,2021-12-09 20:02:00+00:00,71,32,39,-0.018100000000001087
9,2021-12-09 20:03:00+00:00,2021-12-16 20:02:00+00:00,83,46,37,-0.016780000000000322
10,2021-12-16 20:03:00+00:00,2021-12-23 20:02:00+00:00,77,31,46,-0.023529999999999746
11,2021-12-23 20:03:00+00:00,2021-12-30 20:02:00+00:00,76,31,45,-0.021890000000000076
12,2021-12-30 20:03:00+00:00,2022-01-06 20:02:00+00:00,81,41,40,-0.014190000000000619
13,2022-01-06 20:03:00+00:00,2022-01-13 20:02:00+00:00,75,32,43,-0.024499999999998412
14,2022-01-13 20:03:00+00:00,2022-01-20 20:02:00+00:00,64,25,39,-0.021579999999997712
15,2022-01-20 20:03:00+00:00,2022-01-27 20:02:00+00:00,59,31,28,-0.0166399999999991
16,2022-01-27 20:03:00+00:00,2022-02-03 20:02:00+00:00,84,40,44,-0.01992999999999867
17,2022-02-03 20:03:00+00:00,2022-02-10 20:02:00+00:00,83,47,36,-0.0005899999999987582
18,2022-02-10 20:03:00+00:00,2022-02-17 20:02:00+00:00,84,46,38,-0.014149999999998997
19,2022-02-17 20:03:00+00:00,2022-02-24 20:02:00+00:00,76,39,37,-0.02515999999999763
20,2022-02-24 20:03:00+00:00,2022-03-03 20:02:00+00:00,86,42,44,-0.013309999999999045
21,2022-03-03 20:03:00+00:00,2022-03-10 20:02:00+00:00,118,60,58,-0.03307999999999778
22,2022-03-10 20:03:00+00:00,2022-03-17 20:02:00+00:00,90,41,49,-0.03538999999999737
23,2022-03-17 20:03:00+00:00,2022-03-24 20:02:00+00:00,71,38,33,-0.014879999999999338
24,2022-03-24 20:03:00+00:00,2022-03-31 20:02:00+00:00,88,47,40,-0.011249999999999538
25,2022-03-31 20:03:00+00:00,2022-04-07 20:02:00+00:00,58,29,29,-0.02029999999999932
26,2022-04-07 20:03:00+00:00,2022-04-14 20:02:00+00:00,80,38,42,-0.02069999999999772
27,2022-04-14 20:03:00+00:00,2022-04-21 20:02:00+00:00,75,39,34,-0.021059999999997414
28,2022-04-21 20:03:00+00:00,2022-04-28 20:02:00+00:00,95,51,44,-0.029969999999998498
29,2022-04-28 20:03:00+00:00,2022-05-05 20:02:00+00:00,89,42,47,-0.012989999999997615
30,2022-05-05 20:03:00+00:00,2022-05-12 20:02:00+00:00,94,47,46,-0.025389999999996915
31,2022-05-12 20:03:00+00:00,2022-05-19 20:02:00+00:00,86,44,41,-0.015489999999999116
32,2022-05-19 20:03:00+00:00,2022-05-26 20:02:00+00:00,74,30,44,-0.028629999999998157
33,2022-05-26 20:03:00+00:00,2022-06-02 20:02:00+00:00,83,44,39,-0.021959999999997315
34,2022-06-02 20:03:00+00:00,2022-06-09 20:02:00+00:00,74,34,40,-0.01806999999999892
35,2022-06-09 20:03:00+00:00,2022-06-16 20:02:00+00:00,105,53,52,-0.03381999999999752
36,2022-06-16 20:03:00+00:00,2022-06-23 20:02:00+00:00,84,35,48,-0.04135999999999762
37,2022-06-23 20:03:00+00:00,2022-06-30 20:02:00+00:00,77,45,32,-0.00883999999999796
38,2022-06-30 20:03:00+00:00,2022-07-07 20:02:00+00:00,88,43,44,-0.024179999999999202
39,2022-07-07 20:03:00+00:00,2022-07-14 20:02:00+00:00,83,41,42,-0.02395999999999665
40,2022-07-14 20:03:00+00:00,2022-07-21 20:02:00+00:00,101,50,51,-0.0328699999999984
41,2022-07-21 20:03:00+00:00,2022-07-28 20:02:00+00:00,90,45,45,-0.017279999999999518
42,2022-07-28 20:03:00+00:00,2022-08-04 20:02:00+00:00,97,52,45,-0.01474999999999893
43,2022-08-04 20:03:00+00:00,2022-08-11 20:02:00+00:00,81,41,40,-0.034479999999998956
44,2022-08-11 20:03:00+00:00,2022-08-18 20:02:00+00:00,79,43,35,-0.022529999999998607
45,2022-08-18 20:03:00+00:00,2022-08-25 20:02:00+00:00,71,35,36,-0.024339999999999362
46,2022-08-25 20:03:00+00:00,2022-09-01 20:02:00+00:00,95,42,53,-0.04341999999999713
47,2022-09-01 20:03:00+00:00,2022-09-02 23:55:00+00:00,23,11,12,0.0011300000000000754
