Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2021-10-15 19:45:00+00:00,1.15932,2021-10-15 21:00:00+00:00,1.15966,0.00014000000000000695
buy,2021-10-15 21:40:00+00:00,1.15984,2021-10-15 23:20:00+00:00,1.16031,0.00026999999999997046
short,2021-10-18 01:25:00+00:00,1.16007,2021-10-18 03:55:00+00:00,1.15848,0.0013899999999999802
buy,2021-10-18 12:35:00+00:00,1.15824,2021-10-18 13:05:00+00:00,1.15799,-0.0004499999999998613
buy,2021-10-18 13:30:00+00:00,1.15838,2021-10-18 15:05:00+00:00,1.16029,0.0017100000000000782
buy,2021-10-18 16:20:00+00:00,1.16041,2021-10-18 16:50:00+00:00,1.16043,-0.00017999999999986907
buy,2021-10-18 17:35:00+00:00,1.1607,2021-10-18 18:00:00+00:00,1.16016,-0.000739999999999985
buy,2021-10-18 18:30:00+00:00,1.16046,2021-10-18 19:40:00+00:00,1.16216,0.0015000000000000347
short,2021-10-18 20:10:00+00:00,1.16223,2021-10-18 22:45:00+00:00,1.1612,0.0008300000000000863
buy,2021-10-19 03:55:00+00:00,1.16207,2021-10-19 04:55:00+00:00,1.16366,0.0013899999999999807
short,2021-10-19 05:05:00+00:00,1.16337,2021-10-19 05:35:00+00:00,1.16348,-0.00031000000000005416
short,2021-10-19 07:40:00+00:00,1.16535,2021-10-19 08:40:00+00:00,1.16507,8.000000000005832e-05
short,2021-10-19 09:45:00+00:00,1.16542,2021-10-19 10:25:00+00:00,1.16527,-5.00000000001272e-05
short,2021-10-19 10:35:00+00:00,1.16477,2021-10-19 10:55:00+00:00,1.16531,-0.0007399999999999846
short,2021-10-19 12:30:00+00:00,1.16556,2021-10-19 12:50:00+00:00,1.1661,-0.0007399999999999846
short,2021-10-19 13:40:00+00:00,1.16613,2021-10-19 16:00:00+00:00,1.16459,0.0013400000000000972
buy,2021-10-19 16:05:00+00:00,1.1646,2021-10-19 16:10:00+00:00,1.16482,1.9999999999887295e-05
buy,2021-10-19 16:45:00+00:00,1.16459,2021-10-19 19:20:00+00:00,1.16301,-0.001779999999999915
buy,2021-10-19 19:40:00+00:00,1.16332,2021-10-19 20:50:00+00:00,1.1641,0.0005800000000000028
buy,2021-10-19 21:05:00+00:00,1.16397,2021-10-19 21:30:00+00:00,1.16442,0.0002500000000000618
buy,2021-10-19 22:45:00+00:00,1.16356,2021-10-19 23:00:00+00:00,1.1636,-0.00015999999999995965
buy,2021-10-20 00:40:00+00:00,1.16329,2021-10-20 04:50:00+00:00,1.16417,0.0006799999999999922
buy,2021-10-20 11:00:00+00:00,1.16247,2021-10-20 12:20:00+00:00,1.16269,2.000000000010934e-05
buy,2021-10-20 13:25:00+00:00,1.16242,2021-10-20 15:40:00+00:00,1.16395,0.0013300000000000308
short,2021-10-20 16:30:00+00:00,1.16398,2021-10-20 16:35:00+00:00,1.16395,-0.00017000000000002517
buy,2021-10-20 19:00:00+00:00,1.16429,2021-10-20 20:20:00+00:00,1.1654,0.0009099999999999447
buy,2021-10-20 20:35:00+00:00,1.16528,2021-10-20 20:55:00+00:00,1.16532,-0.0001600000000001817
buy,2021-10-20 21:45:00+00:00,1.16569,2021-10-20 22:15:00+00:00,1.16527,-0.0006199999999998646
short,2021-10-21 04:25:00+00:00,1.16565,2021-10-21 04:35:00+00:00,1.16573,-0.0002799999999998576
buy,2021-10-21 08:40:00+00:00,1.16497,2021-10-21 09:35:00+00:00,1.16532,0.00014999999999985077
buy,2021-10-21 10:35:00+00:00,1.16437,2021-10-21 10:55:00+00:00,1.16385,-0.0007199999999998536
buy,2021-10-21 11:40:00+00:00,1.16424,2021-10-21 13:05:00+00:00,1.16402,-0.0004199999999998866
buy,2021-10-21 14:00:00+00:00,1.16404,2021-10-21 16:50:00+00:00,1.16427,2.9999999999952807e-05
buy,2021-10-21 17:15:00+00:00,1.16483,2021-10-21 17:25:00+00:00,1.16427,-0.0007600000000001156
buy,2021-10-21 17:45:00+00:00,1.16443,2021-10-21 20:55:00+00:00,1.16265,-0.001980000000000115
buy,2021-10-22 11:15:00+00:00,1.16435,2021-10-22 15:20:00+00:00,1.16253,-0.002019999999999933
buy,2021-10-22 15:40:00+00:00,1.16343,2021-10-22 17:30:00+00:00,1.165,0.0013700000000000712
buy,2021-10-22 18:00:00+00:00,1.16457,2021-10-22 18:15:00+00:00,1.16439,-0.0003800000000000691
buy,2021-10-22 19:45:00+00:00,1.16307,2021-10-25 00:05:00+00:00,1.16415,0.0008799999999999698
buy,2021-10-25 01:00:00+00:00,1.16407,2021-10-25 04:15:00+00:00,1.16448,0.00021000000000002137
buy,2021-10-25 05:00:00+00:00,1.1643,2021-10-25 06:20:00+00:00,1.16609,0.0015900000000001807
buy,2021-10-25 08:50:00+00:00,1.16586,2021-10-25 08:55:00+00:00,1.16589,-0.00016999999999980355
buy,2021-10-25 09:00:00+00:00,1.16572,2021-10-25 09:20:00+00:00,1.16582,-0.0001000000000000111
short,2021-10-25 11:10:00+00:00,1.16565,2021-10-25 12:20:00+00:00,1.16371,0.0017400000000000531
buy,2021-10-25 13:35:00+00:00,1.16204,2021-10-25 14:10:00+00:00,1.16225,1.0000000000043828e-05
buy,2021-10-25 14:20:00+00:00,1.16253,2021-10-25 14:25:00+00:00,1.16229,-0.00044000000000001763
