Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 18:40:00+00:00,2021-10-22 18:35:00+00:00,38,19,19,0.0013300000000005547
2,2021-10-22 18:40:00+00:00,2021-10-29 18:35:00+00:00,35,22,13,0.01283000000000024
3,2021-10-29 18:40:00+00:00,2021-11-05 18:35:00+00:00,38,21,17,0.014039999999999926
4,2021-11-05 18:40:00+00:00,2021-11-12 18:35:00+00:00,38,20,18,0.008900000000000224
5,2021-11-12 18:40:00+00:00,2021-11-19 18:35:00+00:00,27,8,19,-0.008459999999999808
6,2021-11-19 18:40:00+00:00,2021-11-26 18:35:00+00:00,32,15,17,0.00348000000000126
7,2021-11-26 18:40:00+00:00,2021-12-03 18:35:00+00:00,41,24,17,0.02142999999999965
8,2021-12-03 18:40:00+00:00,2021-12-10 18:35:00+00:00,29,15,14,0.007769999999999888
9,2021-12-10 18:40:00+00:00,2021-12-17 18:35:00+00:00,39,25,14,0.02034000000000031
10,2021-12-17 18:40:00+00:00,2021-12-24 18:35:00+00:00,35,14,21,0.0003699999999998982
11,2021-12-24 18:40:00+00:00,2021-12-31 18:35:00+00:00,40,18,22,0.0042800000000000615
12,2021-12-31 18:40:00+00:00,2022-01-07 18:35:00+00:00,31,15,16,0.0027399999999988822
13,2022-01-07 18:40:00+00:00,2022-01-14 18:35:00+00:00,44,17,26,0.008919999999999512
14,2022-01-14 18:40:00+00:00,2022-01-21 18:35:00+00:00,27,12,15,0.0015200000000007707
15,2022-01-21 18:40:00+00:00,2022-01-28 18:35:00+00:00,25,11,14,0.00364000000000006
16,2022-01-28 18:40:00+00:00,2022-02-04 18:35:00+00:00,51,28,23,0.014649999999999525
17,2022-02-04 18:40:00+00:00,2022-02-11 18:35:00+00:00,37,20,17,0.013560000000000114
18,2022-02-11 18:40:00+00:00,2022-02-18 18:35:00+00:00,31,17,14,0.007679999999999715
19,2022-02-18 18:40:00+00:00,2022-02-25 18:35:00+00:00,25,9,16,-0.00426000000000018
20,2022-02-25 18:40:00+00:00,2022-03-04 18:35:00+00:00,30,18,12,0.0068799999999991646
21,2022-03-04 18:40:00+00:00,2022-03-11 18:35:00+00:00,37,21,16,0.016550000000000148
22,2022-03-11 18:40:00+00:00,2022-03-18 18:35:00+00:00,41,24,17,0.0170800000000004
23,2022-03-18 18:40:00+00:00,2022-03-25 18:35:00+00:00,32,19,13,0.009009999999999962
24,2022-03-25 18:40:00+00:00,2022-04-01 18:35:00+00:00,40,29,11,0.02740000000000009
25,2022-04-01 18:40:00+00:00,2022-04-08 18:35:00+00:00,27,13,14,0.0057699999999997476
26,2022-04-08 18:40:00+00:00,2022-04-15 18:35:00+00:00,40,22,18,0.008370000000000433
27,2022-04-15 18:40:00+00:00,2022-04-22 18:35:00+00:00,40,19,21,0.004490000000000327
28,2022-04-22 18:40:00+00:00,2022-04-29 18:35:00+00:00,25,12,13,0.0037999999999997758
29,2022-04-29 18:40:00+00:00,2022-05-06 18:35:00+00:00,47,27,20,0.012829999999999508
30,2022-05-06 18:40:00+00:00,2022-05-13 18:35:00+00:00,35,19,16,0.012760000000000132
31,2022-05-13 18:40:00+00:00,2022-05-20 18:35:00+00:00,44,18,25,0.004300000000000859
32,2022-05-20 18:40:00+00:00,2022-05-27 18:35:00+00:00,46,20,26,0.012620000000000964
33,2022-05-27 18:40:00+00:00,2022-06-03 18:35:00+00:00,36,21,15,0.0033500000000017405
34,2022-06-03 18:40:00+00:00,2022-06-10 18:35:00+00:00,36,21,15,0.00746000000000091
35,2022-06-10 18:40:00+00:00,2022-06-17 18:35:00+00:00,40,25,15,0.02283999999999997
36,2022-06-17 18:40:00+00:00,2022-06-24 18:35:00+00:00,42,17,25,0.00029000000000101167
37,2022-06-24 18:40:00+00:00,2022-07-01 18:35:00+00:00,36,20,16,0.010210000000001607
38,2022-07-01 18:40:00+00:00,2022-07-08 18:35:00+00:00,31,16,15,0.0044599999999999085
39,2022-07-08 18:40:00+00:00,2022-07-15 18:35:00+00:00,36,21,14,0.019060000000000854
40,2022-07-15 18:40:00+00:00,2022-07-22 18:35:00+00:00,47,34,13,0.02976000000000023
41,2022-07-22 18:40:00+00:00,2022-07-29 18:35:00+00:00,45,29,16,0.03416000000000241
42,2022-07-29 18:40:00+00:00,2022-08-05 18:35:00+00:00,41,21,20,0.010010000000000074
43,2022-08-05 18:40:00+00:00,2022-08-12 18:35:00+00:00,39,17,22,-0.0054699999999980875
44,2022-08-12 18:40:00+00:00,2022-08-19 18:35:00+00:00,28,15,13,0.007050000000000001
45,2022-08-19 18:40:00+00:00,2022-08-26 18:35:00+00:00,36,19,16,0.008410000000000806
46,2022-08-26 18:40:00+00:00,2022-09-02 18:35:00+00:00,43,27,16,0.01939000000000135
47,2022-09-02 18:40:00+00:00,2022-09-02 23:50:00+00:00,2,2,0,0.0013300000000000534
