Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2021-10-15 19:45:00+00:00,1.15932,2021-10-15 23:20:00+00:00,1.16031,0.0007900000000000464
buy,2021-10-18 00:15:00+00:00,1.16033,2021-10-18 01:25:00+00:00,1.16007,-0.000460000000000149
buy,2021-10-18 04:05:00+00:00,1.1588,2021-10-18 11:20:00+00:00,1.15925,0.00024999999999983943
buy,2021-10-18 12:35:00+00:00,1.15824,2021-10-18 13:05:00+00:00,1.15799,-0.0004499999999998614
buy,2021-10-18 13:30:00+00:00,1.15838,2021-10-18 14:50:00+00:00,1.1592,0.0006200000000000429
buy,2021-10-18 14:55:00+00:00,1.15909,2021-10-18 15:25:00+00:00,1.1608,0.0015100000000001002
short,2021-10-18 15:45:00+00:00,1.16081,2021-10-18 16:20:00+00:00,1.16041,0.00019999999999995586
short,2021-10-18 16:50:00+00:00,1.16043,2021-10-18 17:35:00+00:00,1.1607,-0.00046999999999999256
short,2021-10-18 18:00:00+00:00,1.16016,2021-10-18 18:30:00+00:00,1.16046,-0.000499999999999967
short,2021-10-18 20:10:00+00:00,1.16223,2021-10-18 21:25:00+00:00,1.1614,0.0006300000000001083
short,2021-10-18 21:35:00+00:00,1.1613,2021-10-19 04:15:00+00:00,1.16293,-0.0018300000000000204
short,2021-10-19 05:05:00+00:00,1.16337,2021-10-19 05:35:00+00:00,1.16348,-0.0003100000000000545
short,2021-10-19 07:40:00+00:00,1.16535,2021-10-19 08:40:00+00:00,1.16507,8.000000000005797e-05
short,2021-10-19 09:45:00+00:00,1.16542,2021-10-19 10:25:00+00:00,1.16527,-5.000000000012755e-05
short,2021-10-19 10:35:00+00:00,1.16477,2021-10-19 10:55:00+00:00,1.16531,-0.0007399999999999848
short,2021-10-19 12:30:00+00:00,1.16556,2021-10-19 12:50:00+00:00,1.1661,-0.000739999999999985
short,2021-10-19 13:40:00+00:00,1.16613,2021-10-19 16:00:00+00:00,1.16459,0.0013400000000000968
buy,2021-10-19 16:05:00+00:00,1.1646,2021-10-19 16:10:00+00:00,1.16482,1.9999999999886943e-05
buy,2021-10-19 16:45:00+00:00,1.16459,2021-10-19 17:30:00+00:00,1.16524,0.00045000000000003945
buy,2021-10-19 19:40:00+00:00,1.16332,2021-10-19 20:50:00+00:00,1.1641,0.0005800000000000029
buy,2021-10-19 21:05:00+00:00,1.16397,2021-10-19 21:30:00+00:00,1.16442,0.0002500000000000615
