Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 18:40:00+00:00,2021-10-22 18:35:00+00:00,40,21,19,0.0027800000000002315
2,2021-10-22 18:40:00+00:00,2021-10-29 18:35:00+00:00,31,21,10,0.018630000000000365
3,2021-10-29 18:40:00+00:00,2021-11-05 18:35:00+00:00,28,15,13,0.007319999999999632
4,2021-11-05 18:40:00+00:00,2021-11-12 18:35:00+00:00,39,21,18,0.00999000000000002
5,2021-11-12 18:40:00+00:00,2021-11-19 18:35:00+00:00,33,8,25,-0.01384000000000054
6,2021-11-19 18:40:00+00:00,2021-11-26 18:35:00+00:00,27,14,13,0.004630000000000238
7,2021-11-26 18:40:00+00:00,2021-12-03 18:35:00+00:00,37,21,16,0.01803000000000011
8,2021-12-03 18:40:00+00:00,2021-12-10 18:35:00+00:00,24,13,11,0.008169999999999733
9,2021-12-10 18:40:00+00:00,2021-12-17 18:35:00+00:00,36,24,12,0.013640000000000402
10,2021-12-17 18:40:00+00:00,2021-12-24 18:35:00+00:00,36,22,14,0.009580000000000255
11,2021-12-24 18:40:00+00:00,2021-12-31 18:35:00+00:00,35,21,14,0.015580000000000066
12,2021-12-31 18:40:00+00:00,2022-01-07 18:35:00+00:00,32,19,13,0.011779999999999013
13,2022-01-07 18:40:00+00:00,2022-01-14 18:35:00+00:00,36,18,17,0.00807999999999956
14,2022-01-14 18:40:00+00:00,2022-01-21 18:35:00+00:00,26,16,10,0.006820000000000881
15,2022-01-21 18:40:00+00:00,2022-01-28 18:35:00+00:00,25,13,12,0.005549999999999916
16,2022-01-28 18:40:00+00:00,2022-02-04 18:35:00+00:00,42,24,18,0.007999999999999063
17,2022-02-04 18:40:00+00:00,2022-02-11 18:35:00+00:00,32,21,11,0.01277999999999957
18,2022-02-11 18:40:00+00:00,2022-02-18 18:35:00+00:00,27,17,10,0.009209999999999857
19,2022-02-18 18:40:00+00:00,2022-02-25 18:35:00+00:00,32,17,15,-7.00000000000145e-05
20,2022-02-25 18:40:00+00:00,2022-03-04 18:35:00+00:00,26,16,10,0.006760000000000044
21,2022-03-04 18:40:00+00:00,2022-03-11 18:35:00+00:00,37,26,11,0.030200000000000088
22,2022-03-11 18:40:00+00:00,2022-03-18 18:35:00+00:00,43,22,21,0.01096000000000022
23,2022-03-18 18:40:00+00:00,2022-03-25 18:35:00+00:00,30,16,14,0.0076599999999996116
24,2022-03-25 18:40:00+00:00,2022-04-01 18:35:00+00:00,42,27,15,0.019319999999999504
25,2022-04-01 18:40:00+00:00,2022-04-08 18:35:00+00:00,29,17,12,0.003479999999999789
26,2022-04-08 18:40:00+00:00,2022-04-15 18:35:00+00:00,30,15,15,0.0052700000000006075
27,2022-04-15 18:40:00+00:00,2022-04-22 18:35:00+00:00,36,19,17,0.006759999999999988
28,2022-04-22 18:40:00+00:00,2022-04-29 18:35:00+00:00,28,14,14,-0.0052600000000003755
29,2022-04-29 18:40:00+00:00,2022-05-06 18:35:00+00:00,45,32,13,0.03494000000000058
30,2022-05-06 18:40:00+00:00,2022-05-13 18:35:00+00:00,34,18,16,0.010650000000000714
31,2022-05-13 18:40:00+00:00,2022-05-20 18:35:00+00:00,41,17,24,-4.999999999921734e-05
32,2022-05-20 18:40:00+00:00,2022-05-27 18:35:00+00:00,52,31,21,0.015930000000000888
33,2022-05-27 18:40:00+00:00,2022-06-03 18:35:00+00:00,40,22,18,0.002720000000001166
34,2022-06-03 18:40:00+00:00,2022-06-10 18:35:00+00:00,34,17,17,0.002420000000001199
35,2022-06-10 18:40:00+00:00,2022-06-17 18:35:00+00:00,39,22,17,0.013880000000000337
36,2022-06-17 18:40:00+00:00,2022-06-24 18:35:00+00:00,41,20,21,0.008270000000000666
37,2022-06-24 18:40:00+00:00,2022-07-01 18:35:00+00:00,35,20,15,0.013380000000001502
38,2022-07-01 18:40:00+00:00,2022-07-08 18:35:00+00:00,36,18,17,0.0026700000000006163
39,2022-07-08 18:40:00+00:00,2022-07-15 18:35:00+00:00,33,23,9,0.0266000000000004
40,2022-07-15 18:40:00+00:00,2022-07-22 18:35:00+00:00,34,21,13,0.012370000000000436
41,2022-07-22 18:40:00+00:00,2022-07-29 18:35:00+00:00,38,29,9,0.038270000000002025
42,2022-07-29 18:40:00+00:00,2022-08-05 18:35:00+00:00,38,20,18,0.003160000000000718
43,2022-08-05 18:40:00+00:00,2022-08-12 18:35:00+00:00,29,11,18,-0.00875999999999899
44,2022-08-12 18:40:00+00:00,2022-08-19 18:35:00+00:00,29,16,13,0.0013000000000000789
45,2022-08-19 18:40:00+00:00,2022-08-26 18:35:00+00:00,29,18,11,0.007410000000000916
46,2022-08-26 18:40:00+00:00,2022-09-02 18:35:00+00:00,37,23,14,0.014890000000001513
47,2022-09-02 18:40:00+00:00,2022-09-02 23:50:00+00:00,1,1,0,0.003090000000000037
