Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 10:20:00+00:00,1.16128,2021-10-15 12:55:00+00:00,1.16032,0.0007600000000000719
buy,2021-10-15 15:35:00+00:00,1.15947,2021-10-15 16:50:00+00:00,1.15999,0.000320000000000076
buy,2021-10-15 17:35:00+00:00,1.1596,2021-10-15 18:25:00+00:00,1.16019,0.0003900000000000906
buy,2021-10-15 19:45:00+00:00,1.15932,2021-10-18 01:25:00+00:00,1.16007,0.0005500000000000283
buy,2021-10-18 04:05:00+00:00,1.1588,2021-10-18 11:20:00+00:00,1.15925,0.0002499999999998393
buy,2021-10-18 12:35:00+00:00,1.15824,2021-10-18 14:50:00+00:00,1.1592,0.0007600000000000718
short,2021-10-18 15:45:00+00:00,1.16081,2021-10-18 18:30:00+00:00,1.16046,0.00014999999999985034
short,2021-10-19 10:35:00+00:00,1.16477,2021-10-19 13:00:00+00:00,1.1666,-0.0020299999999999984
buy,2021-10-19 16:05:00+00:00,1.1646,2021-10-19 17:30:00+00:00,1.16524,0.00043999999999997383
buy,2021-10-19 19:40:00+00:00,1.16332,2021-10-20 04:50:00+00:00,1.16417,0.0006500000000000173
buy,2021-10-20 06:05:00+00:00,1.16394,2021-10-20 10:35:00+00:00,1.16216,-0.001979999999999893
buy,2021-10-20 11:00:00+00:00,1.16247,2021-10-20 15:50:00+00:00,1.16406,0.0013900000000002023
short,2021-10-20 20:55:00+00:00,1.16532,2021-10-21 03:20:00+00:00,1.16542,-0.0002999999999999891
buy,2021-10-21 08:40:00+00:00,1.16497,2021-10-21 09:35:00+00:00,1.16532,0.00014999999999985034
buy,2021-10-21 10:35:00+00:00,1.16437,2021-10-21 10:55:00+00:00,1.16385,-0.0007199999999998539
buy,2021-10-21 11:40:00+00:00,1.16424,2021-10-21 13:05:00+00:00,1.16402,-0.00041999999999988694
buy,2021-10-21 15:35:00+00:00,1.16426,2021-10-21 17:25:00+00:00,1.16427,-0.00019000000000015654
buy,2021-10-21 17:45:00+00:00,1.16443,2021-10-21 18:15:00+00:00,1.16399,-0.0006399999999999959
buy,2021-10-21 20:20:00+00:00,1.1634,2021-10-21 20:40:00+00:00,1.16381,0.00021000000000002148
