Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-15 07:20:00+00:00,2021-10-22 07:15:00+00:00,20,13,7,-0.00020999999999981865
2,2021-10-22 07:20:00+00:00,2021-10-29 07:15:00+00:00,30,21,9,0.017390000000000686
3,2021-10-29 07:20:00+00:00,2021-11-05 07:15:00+00:00,28,11,17,-0.0033100000000009996
4,2021-11-05 07:20:00+00:00,2021-11-12 07:15:00+00:00,36,22,14,0.013370000000000676
5,2021-11-12 07:20:00+00:00,2021-11-19 07:15:00+00:00,36,22,14,0.0030200000000001614
6,2021-11-19 07:20:00+00:00,2021-11-26 07:15:00+00:00,32,16,16,-0.00019999999999953735
7,2021-11-26 07:20:00+00:00,2021-12-03 07:15:00+00:00,24,14,10,0.0047099999999999365
8,2021-12-03 07:20:00+00:00,2021-12-10 07:15:00+00:00,32,17,15,0.010039999999999827
9,2021-12-10 07:20:00+00:00,2021-12-17 07:15:00+00:00,30,20,10,0.013890000000000222
10,2021-12-17 07:20:00+00:00,2021-12-24 07:15:00+00:00,30,17,13,-9.999999999836529e-06
11,2021-12-24 07:20:00+00:00,2021-12-31 07:15:00+00:00,28,15,13,0.006450000000000046
12,2021-12-31 07:20:00+00:00,2022-01-07 07:15:00+00:00,34,22,12,0.008689999999999809
13,2022-01-07 07:20:00+00:00,2022-01-14 07:15:00+00:00,29,17,12,0.006989999999999025
14,2022-01-14 07:20:00+00:00,2022-01-21 07:15:00+00:00,36,20,16,0.002560000000000451
15,2022-01-21 07:20:00+00:00,2022-01-28 07:15:00+00:00,26,9,17,-0.008739999999999581
16,2022-01-28 07:20:00+00:00,2022-02-04 07:15:00+00:00,32,17,15,0.0011300000000000754
17,2022-02-04 07:20:00+00:00,2022-02-11 07:15:00+00:00,37,24,13,0.01575000000000068
18,2022-02-11 07:20:00+00:00,2022-02-18 07:15:00+00:00,32,23,9,0.02497999999999978
19,2022-02-18 07:20:00+00:00,2022-02-25 07:15:00+00:00,32,16,16,-0.0014000000000000679
20,2022-02-25 07:20:00+00:00,2022-03-04 07:15:00+00:00,42,24,18,0.0116999999999991
21,2022-03-04 07:20:00+00:00,2022-03-11 07:15:00+00:00,37,21,16,0.015210000000000029
22,2022-03-11 07:20:00+00:00,2022-03-18 07:15:00+00:00,33,23,10,0.02097000000000057
23,2022-03-18 07:20:00+00:00,2022-03-25 07:15:00+00:00,28,14,14,-0.0028199999999999337
24,2022-03-25 07:20:00+00:00,2022-04-01 07:15:00+00:00,38,23,15,0.009200000000000153
25,2022-04-01 07:20:00+00:00,2022-04-08 07:15:00+00:00,36,19,17,0.0019299999999996542
26,2022-04-08 07:20:00+00:00,2022-04-15 07:15:00+00:00,33,22,11,0.013240000000000557
27,2022-04-15 07:20:00+00:00,2022-04-22 07:15:00+00:00,25,17,8,0.0130500000000002
28,2022-04-22 07:20:00+00:00,2022-04-29 07:15:00+00:00,36,24,12,0.012230000000000074
29,2022-04-29 07:20:00+00:00,2022-05-06 07:15:00+00:00,45,25,20,0.015419999999999406
30,2022-05-06 07:20:00+00:00,2022-05-13 07:15:00+00:00,47,21,26,-0.0021700000000001995
31,2022-05-13 07:20:00+00:00,2022-05-20 07:15:00+00:00,34,18,16,-0.0024600000000004063
32,2022-05-20 07:20:00+00:00,2022-05-27 07:15:00+00:00,33,18,15,0.00284000000000037
33,2022-05-27 07:20:00+00:00,2022-06-03 07:15:00+00:00,34,16,18,-0.0031699999999999506
34,2022-06-03 07:20:00+00:00,2022-06-10 07:15:00+00:00,36,23,13,0.015600000000000835
35,2022-06-10 07:20:00+00:00,2022-06-17 07:15:00+00:00,33,21,12,0.00984999999999922
36,2022-06-17 07:20:00+00:00,2022-06-24 07:15:00+00:00,34,20,14,0.004650000000000987
37,2022-06-24 07:20:00+00:00,2022-07-01 07:15:00+00:00,41,25,16,0.015330000000001565
38,2022-07-01 07:20:00+00:00,2022-07-08 07:15:00+00:00,39,19,20,-0.0033599999999993635
39,2022-07-08 07:20:00+00:00,2022-07-15 07:15:00+00:00,36,25,11,0.016699999999999937
40,2022-07-15 07:20:00+00:00,2022-07-22 07:15:00+00:00,36,22,14,0.009600000000001385
41,2022-07-22 07:20:00+00:00,2022-07-29 07:15:00+00:00,34,21,13,0.021700000000001163
42,2022-07-29 07:20:00+00:00,2022-08-05 07:15:00+00:00,42,27,15,0.013560000000000239
43,2022-08-05 07:20:00+00:00,2022-08-12 07:15:00+00:00,31,19,12,0.007640000000000979
44,2022-08-12 07:20:00+00:00,2022-08-19 07:15:00+00:00,33,23,10,0.01881000000000066
45,2022-08-19 07:20:00+00:00,2022-08-26 07:15:00+00:00,35,14,21,-0.000400000000000289
46,2022-08-26 07:20:00+00:00,2022-09-02 07:15:00+00:00,37,25,12,0.011530000000000595
47,2022-09-02 07:20:00+00:00,2022-09-02 23:50:00+00:00,9,6,3,0.006130000000000302
