Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 04:10:00+00:00,1.15953,2021-10-15 06:10:00+00:00,1.16104,-0.0017100000000001224
short,2021-10-15 07:35:00+00:00,1.16098,2021-10-15 15:30:00+00:00,1.15932,0.0014599999999999947
buy,2021-10-15 23:45:00+00:00,1.1599,2021-10-18 05:25:00+00:00,1.15935,-0.0007499999999998285
short,2021-10-19 17:00:00+00:00,1.16556,2021-10-19 17:40:00+00:00,1.16372,0.0016399999999998417
buy,2021-10-20 05:30:00+00:00,1.16363,2021-10-20 08:10:00+00:00,1.16515,0.0013199999999999657
buy,2021-10-20 12:40:00+00:00,1.16245,2021-10-20 15:40:00+00:00,1.16395,0.0013000000000000568
buy,2021-10-20 23:35:00+00:00,1.16487,2021-10-21 05:30:00+00:00,1.16645,0.0013799999999999151
short,2021-10-22 22:45:00+00:00,1.16422,2021-10-25 06:15:00+00:00,1.16573,-0.0017099999999999004
short,2021-10-25 09:10:00+00:00,1.16602,2021-10-25 10:00:00+00:00,1.16446,0.0013600000000000057
short,2021-10-25 20:20:00+00:00,1.16111,2021-10-26 09:55:00+00:00,1.16045,0.0004600000000001053
buy,2021-10-27 10:30:00+00:00,1.16028,2021-10-27 12:35:00+00:00,1.15861,-0.0018700000000000604
buy,2021-10-27 22:30:00+00:00,1.16009,2021-10-28 12:35:00+00:00,1.15833,-0.001959999999999984
short,2021-10-28 23:55:00+00:00,1.16848,2021-10-29 08:00:00+00:00,1.16645,0.0018299999999999762
buy,2021-10-29 23:50:00+00:00,1.1558,2021-11-01 11:55:00+00:00,1.15742,0.0014199999999999547
short,2021-11-02 17:55:00+00:00,1.15931,2021-11-02 19:40:00+00:00,1.15777,0.0013400000000000963
buy,2021-11-08 00:05:00+00:00,1.15642,2021-11-08 14:45:00+00:00,1.15798,0.0013600000000000053
buy,2021-11-11 09:10:00+00:00,1.14808,2021-11-11 10:00:00+00:00,1.14603,-0.0022499999999998858
buy,2021-11-12 00:30:00+00:00,1.14502,2021-11-12 09:00:00+00:00,1.14451,-0.0007100000000000101
short,2021-11-12 12:35:00+00:00,1.1448,2021-11-12 15:20:00+00:00,1.14473,-0.0001299999999999856
short,2021-11-17 07:05:00+00:00,1.13011,2021-11-17 10:25:00+00:00,1.13171,-0.001800000000000046
buy,2021-11-23 04:00:00+00:00,1.12375,2021-11-23 09:30:00+00:00,1.12556,0.0016099999999998672
buy,2021-11-23 16:35:00+00:00,1.12476,2021-11-23 18:00:00+00:00,1.12643,0.0014700000000000602
buy,2021-11-24 08:00:00+00:00,1.12394,2021-11-24 11:00:00+00:00,1.1222,-0.0019399999999998529
