Model,ParamSet,Param,Test Loss,Test Accuracy,Test Precision,Test Recall,Incorrect Trade Reduction (%),Correct Trade Reduction (%),Time Trained (s)
RNN,1,Baseline,0.6950619220733643,0.603,0.2761,0.3281,69.92,67.19,136.0
RNN,2,SequenceLength - 240,0.6945043206214905,0.3336,0.2633,0.8733,14.48,12.67,263.0
RNN,2,SequenceLength - 60,0.6873789429664612,0.6241,0.3023,0.345,72.16,65.5,81.0
RNN,3,Optimizer - Momentum,0.6973005533218384,0.2591,0.2591,1.0,0.0,0.0,138.0
RNN,3,Optimizer - RMSProp,0.6892907023429871,0.5586,0.2696,0.4113,61.01,58.87,138.0
RNN,4,ActivationFunctions - Sigmoid,0.7006999850273132,0.2591,0.2591,1.0,0.0,0.0,143.0
RNN,4,ActivationFunctions - ReLU,0.6969457268714905,0.2591,0.2591,1.0,0.0,0.0,139.0
RNN,4,ActivationFunctions - TanH,0.6848490238189697,0.6449,0.2779,0.2316,78.95,76.84,135.0
RNN,5,RNNUnits - 128,0.6984671950340271,0.2591,0.2591,1.0,0.0,0.0,144.0
RNN,5,RNNUnits - 32,0.6888045072555542,0.6018,0.2986,0.3981,67.3,60.19,135.0
RNN,5,RNNUnits - 8,0.689827024936676,0.6071,0.3062,0.4077,67.68,59.23,143.0
RNN,6,NDeepLayers - 0,0.6748834252357483,0.6308,0.2895,0.2919,74.94,70.81,143.0
RNN,6,NDeepLayers - 1,0.7183172702789307,0.3148,0.2579,0.8758,11.86,12.42,143.0
RNN,6,NDeepLayers - 3,0.6945285797119141,0.341,0.2543,0.7986,18.1,20.14,203.0
RNN,7,NDeepNeurons - 16 - 5,0.692909836769104,0.5355,0.2572,0.4198,57.59,58.02,137.0
RNN,7,NDeepNeurons - 64 - 20,0.6982176303863525,0.4292,0.2581,0.6417,35.49,35.83,143.0
RNN,8,Dropout - N,0.6739168167114258,0.7252,0.2642,0.0338,96.71,96.62,134.0
RNN,9,Epochs - 50,0.6958445906639099,0.4326,0.2555,0.6212,36.67,37.88,271.0
RNN,10,AdamLR - 0.0001,0.6814998388290405,0.6214,0.2942,0.3293,72.36,67.07,143.0
RNN,10,AdamLR - 0.01,0.6961036920547485,0.3026,0.2621,0.9312,8.27,6.88,143.0
LSTM,1,Baseline,0.6932897567749023,0.5777,0.2818,0.4065,63.76,59.35,43.0
LSTM,2,SequenceLength - 240,0.6964545845985413,0.4984,0.2719,0.5573,47.78,44.27,40.0
LSTM,2,SequenceLength - 60,0.6969314813613892,0.5588,0.2728,0.4222,60.65,57.78,43.0
LSTM,3,Optimizer - Momentum,0.7040131688117981,0.2685,0.2596,0.9843,1.81,1.57,25.0
