Time Difference,# Frequency Deviations,# Occurrences,% Data
0 days 00:05:00,1.0,297964,99.919183
0 days 00:10:00,2.0,16,0.005365
0 days 00:15:00,3.0,7,0.002347
0 days 00:20:00,4.0,3,0.001006
0 days 01:00:00,12.0,1,0.000335
0 days 01:30:00,18.0,1,0.000335
0 days 02:05:00,25.0,1,0.000335
1 days 03:00:00,324.0,2,0.000671
1 days 03:05:00,325.0,2,0.000671
2 days 00:05:00,577.0,203,0.068074
2 days 00:10:00,578.0,1,0.000335
3 days 00:05:00,865.0,2,0.000671
3 days 03:05:00,901.0,1,0.000335
3 days 03:20:00,904.0,1,0.000335
